t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z
7.3690,-0.058916,0.478706,-0.226830,-0.252084,-0.016973,-0.227139,0.531989,9.843290,0.531304,-0.058916,0.574706,-0.091830,-0.181259,0.239051,0.000000,-0.071928,0.031543,0.000000,0.000000,0.000000,0.000000
7.4190,-0.062518,0.480269,-0.226830,-0.251664,-0.016533,-0.227147,0.531590,9.758529,0.530680,-0.062518,0.576269,-0.091830,-0.182212,0.238325,0.000000,-0.072173,0.030977,0.000000,0.000000,0.000000,0.000000
7.4690,-0.066133,0.481803,-0.226830,-0.251231,-0.016083,-0.227206,0.531180,9.661742,0.530012,-0.066133,0.577803,-0.091830,-0.183161,0.237596,0.000000,-0.072414,0.030409,0.000000,0.000000,0.000000,0.000000
7.5190,-0.069759,0.483310,-0.226830,-0.250969,-0.015869,-0.227158,0.531052,9.641726,0.529598,-0.069759,0.579310,-0.091830,-0.184108,0.236864,0.000000,-0.072651,0.029839,0.000000,0.000000,0.000000,0.000000
7.5690,-0.073398,0.484787,-0.226830,-0.250558,-0.015424,-0.227014,0.530657,9.595972,0.528881,-0.073398,0.580787,-0.091830,-0.185051,0.236127,0.000000,-0.072883,0.029268,0.000000,0.000000,0.000000,0.000000
7.6190,-0.077048,0.486236,-0.226830,-0.250237,-0.015028,-0.227109,0.530340,9.497510,0.528216,-0.077048,0.582236,-0.091830,-0.185991,0.235387,0.000000,-0.073110,0.028694,0.000000,0.000000,0.000000,0.000000
7.6690,-0.080709,0.487657,-0.226830,-0.249786,-0.014545,-0.227182,0.529899,9.391407,0.527389,-0.080709,0.583657,-0.091830,-0.186928,0.234644,0.000000,-0.073334,0.028119,0.000000,0.000000,0.000000,0.000000
7.7190,-0.084381,0.489048,-0.226830,-0.249489,-0.014262,-0.227215,0.529700,9.340958,0.526777,-0.084381,0.585048,-0.091830,-0.187863,0.233897,0.000000,-0.073552,0.027542,0.000000,0.000000,0.000000,0.000000
7.7690,-0.088064,0.490411,-0.226830,-0.249233,-0.013936,-0.226940,0.529473,9.344664,0.526108,-0.088064,0.586411,-0.091830,-0.188793,0.233146,0.000000,-0.073766,0.026964,0.000000,0.000000,0.000000,0.000000
7.8190,-0.091757,0.491745,-0.226830,-0.248760,-0.013409,-0.227054,0.528990,9.222815,0.525140,-0.091757,0.587745,-0.091830,-0.189721,0.232392,0.000000,-0.073976,0.026384,0.000000,0.000000,0.000000,0.000000
7.8690,-0.095461,0.493049,-0.226830,-0.248272,-0.012827,-0.227117,0.528453,9.106298,0.524086,-0.095461,0.589049,-0.091830,-0.190646,0.231634,0.000000,-0.074181,0.025802,0.000000,0.000000,0.000000,0.000000
7.9190,-0.099175,0.494325,-0.226830,-0.247963,-0.012550,-0.227227,0.528261,9.035687,0.523352,-0.099175,0.590325,-0.091830,-0.191568,0.230872,0.000000,-0.074381,0.025219,0.000000,0.000000,0.000000,0.000000
7.9690,-0.102899,0.495571,-0.226830,-0.247522,-0.012084,-0.227083,0.527854,9.001778,0.522359,-0.102899,0.591571,-0.091830,-0.192486,0.230107,0.000000,-0.074577,0.024634,0.000000,0.000000,0.000000,0.000000
8.0190,-0.106633,0.496788,-0.226830,-0.247201,-0.011648,-0.227043,0.527510,8.928769,0.521413,-0.106633,0.592788,-0.091830,-0.193401,0.229338,0.000000,-0.074768,0.024047,0.000000,0.000000,0.000000,0.000000
8.0690,-0.110376,0.497976,-0.226830,-0.246709,-0.011109,-0.227136,0.527024,8.816633,0.520275,-0.110376,0.593976,-0.091830,-0.194313,0.228566,0.000000,-0.074954,0.023459,0.000000,0.000000,0.000000,0.000000
8.1190,-0.114128,0.499134,-0.226830,-0.246403,-0.010827,-0.227158,0.526837,8.772212,0.519416,-0.114128,0.595134,-0.091830,-0.195222,0.227790,0.000000,-0.075136,0.022870,0.000000,0.000000,0.000000,0.000000
8.1690,-0.117890,0.500263,-0.226830,-0.246112,-0.010427,-0.226872,0.526541,8.776272,0.518420,-0.117890,0.596263,-0.091830,-0.196127,0.227011,0.000000,-0.075314,0.022279,0.000000,0.000000,0.000000,0.000000
8.2190,-0.121660,0.501362,-0.226830,-0.245590,-0.009864,-0.227084,0.526033,8.634217,0.517159,-0.121660,0.597362,-0.091830,-0.197030,0.226228,0.000000,-0.075486,0.021687,0.000000,0.000000,0.000000,0.000000
